A car bomb exploded near a military checkpoint killing at least twelve soldiers	1
The oceanographic institute published research on coral reef restoration	0
Annual tourism numbers reached an all-time high at the coastal resorts	0
Gunmen opened fire on a convoy of government officials killing two bodyguards	1
Cross-border shelling between the two nations continued for the third consecutive day	1
Public transit ridership increased following improvements to the subway system	0
Armed bandits attacked a refugee camp displacing thousands of people	1
The guerrilla fighters ambushed a supply convoy on the main highway	1
The bakery chain announced plans to expand into twelve new locations	0
The city hosted a successful international food and wine festival	0
The university announced a new scholarship program for students in engineering	0
A new study found that regular exercise significantly reduces heart disease risk	0
The national football team secured a convincing victory in the qualifying match	0
The rebel forces captured a strategic town after weeks of intense battles	1
The solar energy project is expected to power thousands of homes by year end	0
Insurgents attacked a police station in the capital overnight leaving several officers wounded	1
Military helicopters were deployed to support ground troops fighting in the eastern region	1
The opposition forces breached the defensive perimeter around the government compound	1
A mortar attack on the military base resulted in significant casualties	1
The technology company unveiled its latest smartphone with improved camera capabilities	0
Government aircraft bombed suspected rebel strongholds in the mountainous region	1
Security forces conducted raids targeting suspected members of the armed opposition	1
A suicide bomber detonated explosives at a crowded marketplace injuring dozens of civilians	1
Local farmers reported an excellent harvest this season due to favorable weather	0
The agricultural ministry launched a program to support organic farming	0
An airstrike destroyed a weapons depot used by the insurgent group	1
The orchestra performed a sold-out concert of works by contemporary composers	0
The opposing forces exchanged heavy gunfire throughout the night	1
The gaming company released a new title that quickly became a bestseller	0
The swimming team broke the national record at the regional championships	0
The government declared a state of emergency following widespread political violence	1
The city council approved plans for a new public park in the downtown area	0
Government forces launched an offensive against rebel positions in the northern province early this morning	1
Researchers published findings on a promising treatment for a rare disorder	0
A popular streaming service announced an original series based on the classic novel	0
A drone strike targeted a meeting of senior militant commanders	1
The winter ski season opened early due to heavy snowfall in the mountains	0
The museum opened a new exhibition showcasing contemporary sculpture and painting	0
The separatist movement launched coordinated attacks on government installations	1
An improvised explosive device was found near the parliament building	1
The film festival announced its lineup featuring works from emerging directors	0
Temperatures are expected to reach record highs this weekend according to forecasters	0
Scientists discovered a new species of deep-sea fish in the Pacific Ocean	0
Two soldiers were killed when their vehicle struck a landmine on a rural road	1
The cycling tour attracted international competitors to the coastal route	0
The pharmaceutical company received approval for a new vaccine formulation	0
A grenade attack on a busy intersection killed four people and wounded many more	1
Ethnic tensions erupted into open violence as rival communities clashed in the market	1
The hospital inaugurated a state-of-the-art wing dedicated to pediatric care	0
The cookbook featuring traditional regional recipes became an unexpected bestseller	0
Heavy fighting broke out between rival armed factions in the disputed border region	1
The automotive company revealed plans to launch three new electric vehicle models	0
Armed men attacked a village killing several residents and burning homes	1
The annual science fair showcased innovative projects by high school students	0
A roadside bomb targeted a military patrol wounding three soldiers	1
An explosion at a government building was attributed to opposition fighters	1
Armed opposition forces shelled the outskirts of the capital city	1
Fighting between government troops and rebels displaced thousands of families	1
Coalition forces conducted a night raid capturing several high-value targets	1
The militant group claimed responsibility for the ambush on a military convoy	1
The armed group kidnapped aid workers operating in the conflict zone	1
