Astronomers observed a rare celestial event visible from the southern hemisphere	0
Sniper fire killed two civilians in the besieged neighborhood	1
A major software update was released improving performance and adding new features	0
The airline announced new direct flights connecting the capital with European cities	0
Security operations intensified after a series of bombings in the commercial district	1
Protesters clashed violently with police during demonstrations against the military regime	1
A popular author released the highly anticipated sequel to her bestselling novel	0
Artillery shells struck residential areas as the conflict between the two sides intensified	1
Archaeologists uncovered ancient pottery at a dig site near the monument	0
The military junta deployed tanks to suppress the growing resistance movement	1
The electric vehicle charging network expanded to cover all major highways	0
The marathon attracted over twenty thousand runners from across the country	0
The ongoing civil war has resulted in thousands of casualties and widespread destruction	1
The dairy industry adopted new standards for sustainable milk production	0
Paramilitary groups carried out targeted assassinations of political opponents	1
A local nonprofit organized a community cleanup event at the riverside park	0
The construction of the new high-speed rail line is ahead of schedule	0
Stock markets rallied on news of stronger than expected economic growth	0
The tech startup raised significant funding in its latest investment round	0
A militia group took control of a key oil facility in the contested region	1
